;AMPHLEI;APIOERR;APIOVEN;ARMICEP;ARMIGAL;ARMIMEL;ARMIOST;ASTETIL;BISCMED;BJERADU;BLUMJAA;BOTRCIN;BOTRDOT;BOTRSTE;CALIPIN;CENAFER;CERAIPS;CERAMIN;CERAPLA;CHONPUR;CHRYABI;CHRYLED;COLETUS;COLPQUE;CRISDEP;CRONFLA;CRONQUE;CRONRIB;CRUMSOR;CRYPCAS;CRYPCOR;CRYPHYA;CRYPPAR;CRYPPOP;CYCLMIN;CYCLNIV;CYLIDID;DAEDCON;DELPABI;DICADRY;DISCCAS;DREPPUN;ENTOMAM;EUTYLAT;FISTHEP;FOMEFOM;FOMICYT;FOMIPIN;FUSAOXY;FUSIQUE;GANOADS;GANOAPP;GANORES;GNOMLEP;GREMABI;GYMNFUS;HAEMHAE;HERPJUN;HETEANN;HYPOFRA;LACHWIL;LAETSUL;LEPTLUN;LEPTPRO;LEUCPER;LIRUMAC;LIRUNER;LOPHCON;LOPHPIC;LOPHPIN;LOPHSED;MELAALL;MELACAR;MELALAR;MELAMOD;MELAPOP;MERIGIG;MICRALP;MICRJUG;MONOMON;MYCOCAS;MYCODEA;MYCOMIC;MYCOPIN;NECTCIN;NECTCOC;NECTDIT;NECTFUC;NECTVEU;NEONGAL;OPHIPIC;OPHISER;OPHIULM;OUDEMUC;OXYPPOP;PESTFUN;PEZICIN;PHACCON;PHAEGAE;PHAESCH;PHELCHR;PHELHAR;PHELIGN;PHELPIN;PHELROB;PHLOACE;PHOMJUN;PHOMQUE;PHYLACE;PHYLGUT;PLEUOST;PLEUPSE;PODOCLA;POLLRAD;POLYSQU;PSEUDRY;PUCCEPI;RHABPSE;RHIZKAL;RHIZMAC;RHIZOUD;RHIZUND;RHYTACE;ROSENEC;SARERES;SAWATUL;SCHICOM;SEIRCAR;SEPTPOD;SEPTQUE;SIROSTR;SPARCRI;SPHASAP;STEGPYR;STERHIR;STERSAN;STIGCAR;SYDOPOL;TAPHBET;TAPHCAE;TAPHCER;TAPHPOP;TITATRE;TRAMGIB;TRAMVER;TRUNHAR;VALSAMB;VALSKUN;VALSNIV;VALSSOR;VENTFRA;VENTINA;VERTDAH;ZYTHPIN
DAEDCON;6;6;6;4;4;4;4;6;6;3;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;0;6;6;6;6;6;6;4;2;3;3;6;6;3;3;3;6;6;4;6;6;4;6;6;3;6;6;6;6;6;6;6;6;6;5;5;5;6;5;3;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;3;4;4;4;4;4;6;6;6;6;6;4;6;6;6;2;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;3;6;6;4;4;6;6;6;6;6;6;6;2;2;6;6;6;6;6;6;6;6;6
DELPABI;5;5;5;6;6;6;6;5;5;6;5;5;4;4;5;5;5;5;5;6;0;6;6;5;5;6;6;6;5;5;5;5;5;5;5;5;5;6;0;5;4;5;5;5;6;6;6;6;5;4;6;6;6;5;5;6;5;4;6;5;5;6;5;5;5;5;5;5;5;5;5;6;6;6;5;6;6;5;6;5;4;4;4;4;5;5;5;5;5;5;5;5;5;6;6;5;5;5;3;6;6;6;6;6;6;4;5;5;4;5;6;5;5;4;6;6;6;5;4;4;4;5;5;5;5;5;6;5;5;4;5;6;5;4;6;6;4;3;5;5;5;5;5;6;6;5;5;5;5;5;4;4;5;5
DICADRY;3;3;3;6;6;6;6;3;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;3;5;3;3;3;5;5;4;6;5;0;5;5;4;4;6;6;6;6;4;5;6;6;6;3;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;2;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;3;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;3;6;6;4;3;3;3;3;5;5;4;4
DISCCAS;5;5;5;6;6;6;6;5;5;6;5;5;4;4;5;5;5;5;5;6;6;6;6;5;5;6;6;6;5;0;5;5;5;5;5;5;5;6;4;5;0;5;5;5;6;6;6;6;5;4;6;6;6;5;5;6;5;4;6;5;5;6;5;5;5;5;5;5;5;5;5;6;6;6;5;6;6;5;6;5;2;2;2;2;5;5;5;5;5;5;5;5;5;6;6;5;5;5;4;6;6;6;6;6;6;2;5;5;4;5;6;5;5;4;6;6;6;5;4;4;4;5;5;5;5;5;6;5;5;2;5;6;5;4;6;6;2;4;5;5;5;5;5;6;6;5;5;5;5;5;4;4;5;5
DREPPUN;5;5;5;6;6;6;6;5;5;6;2;3;5;5;5;3;5;5;5;6;6;6;6;4;3;6;6;6;3;5;5;5;5;5;4;4;5;6;5;5;5;0;5;5;6;6;6;6;5;5;6;6;6;5;3;6;5;5;6;5;3;6;5;5;5;4;4;4;4;4;4;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;2;3;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;3;5;5;5;5;4;5;4;4;6;5;3;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
ENTOMAM;4;4;4;6;6;6;6;4;2;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;4;6;5;4;5;5;0;3;6;6;6;6;4;5;6;6;6;4;5;6;4;5;6;2;5;6;4;4;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;3;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;3;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;2;5;5;6;3;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;3;4;4;4;4;5;5;4;4
EUTYLAT;4;4;4;6;6;6;6;4;3;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;4;6;5;4;5;5;3;0;6;6;6;6;4;5;6;6;6;4;5;6;4;5;6;3;5;6;4;4;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;3;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;3;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;3;5;5;6;3;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;3;4;4;4;4;5;5;4;4
FISTHEP;6;6;6;3;3;3;3;6;6;4;6;6;6;6;6;6;6;6;6;3;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;6;0;4;4;4;6;6;4;4;4;6;6;3;6;6;4;6;6;4;6;6;6;6;6;6;6;6;6;5;5;5;6;5;4;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;4;6;6;6;6;4;4;4;4;4;4;6;6;6;6;6;3;6;6;6;4;4;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;4;6;6;4;4;6;6;6;6;6;6;6;4;4;6;6;6;6;6;6;6;6;6
FOMEFOM;6;6;6;4;4;4;4;6;6;3;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;6;4;0;3;3;6;6;3;3;3;6;6;4;6;6;4;6;6;3;6;6;6;6;6;6;6;6;6;5;5;5;6;5;3;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;3;4;4;4;4;4;6;6;6;6;6;4;6;6;6;2;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;3;6;6;4;4;6;6;6;6;6;6;6;2;2;6;6;6;6;6;6;6;6;6
FOMICYT;6;6;6;4;4;4;4;6;6;3;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;4;3;0;1;6;6;3;3;3;6;6;4;6;6;4;6;6;2;6;6;6;6;6;6;6;6;6;5;5;5;6;5;3;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;2;4;4;4;4;4;6;6;6;6;6;4;6;6;6;3;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;3;6;6;4;4;6;6;6;6;6;6;6;3;3;6;6;6;6;6;6;6;6;6
FOMIPIN;6;6;6;4;4;4;4;6;6;3;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;4;3;1;0;6;6;3;3;3;6;6;4;6;6;4;6;6;2;6;6;6;6;6;6;6;6;6;5;5;5;6;5;3;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;2;4;4;4;4;4;6;6;6;6;6;4;6;6;6;3;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;3;6;6;4;4;6;6;6;6;6;6;6;3;3;6;6;6;6;6;6;6;6;6
FUSAOXY;4;4;4;6;6;6;6;4;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;2;6;5;4;5;5;4;4;6;6;6;6;0;5;6;6;6;4;5;6;2;5;6;4;5;6;4;4;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;4;5;5;5;5;2;2;2;2;2;2;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;4;4;4;4;4;5;5;4;2
FUSIQUE;5;5;5;6;6;6;6;5;5;6;5;5;2;2;5;5;5;5;5;6;6;6;6;5;5;6;6;6;5;5;5;5;5;5;5;5;5;6;4;5;4;5;5;5;6;6;6;6;5;0;6;6;6;5;5;6;5;4;6;5;5;6;5;5;5;5;5;5;5;5;5;6;6;6;5;6;6;5;6;5;4;4;4;4;5;5;5;5;5;5;5;5;5;6;6;5;5;5;4;6;6;6;6;6;6;4;5;5;2;5;6;5;5;4;6;6;6;5;4;4;4;5;5;5;5;5;6;5;5;4;5;6;5;4;6;6;4;4;5;5;5;5;5;6;6;5;5;5;5;5;4;4;5;5
GANOADS;6;6;6;4;4;4;4;6;6;3;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;4;3;3;3;6;6;0;1;1;6;6;4;6;6;4;6;6;3;6;6;6;6;6;6;6;6;6;5;5;5;6;5;3;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;3;4;4;4;4;4;6;6;6;6;6;4;6;6;6;3;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;3;6;6;4;4;6;6;6;6;6;6;6;3;3;6;6;6;6;6;6;6;6;6
GANOAPP;6;6;6;4;4;4;4;6;6;3;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;4;3;3;3;6;6;1;0;1;6;6;4;6;6;4;6;6;3;6;6;6;6;6;6;6;6;6;5;5;5;6;5;3;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;3;4;4;4;4;4;6;6;6;6;6;4;6;6;6;3;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;3;6;6;4;4;6;6;6;6;6;6;6;3;3;6;6;6;6;6;6;6;6;6
GANORES;6;6;6;4;4;4;4;6;6;3;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;4;3;3;3;6;6;1;1;0;6;6;4;6;6;4;6;6;3;6;6;6;6;6;6;6;6;6;5;5;5;6;5;3;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;3;4;4;4;4;4;6;6;6;6;6;4;6;6;6;3;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;3;6;6;4;4;6;6;6;6;6;6;6;3;3;6;6;6;6;6;6;6;6;6
GNOMLEP;2;2;2;6;6;6;6;2;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;2;5;2;3;2;5;5;4;6;5;3;5;5;4;4;6;6;6;6;4;5;6;6;6;0;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;3;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;2;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;2;6;6;4;3;3;3;3;5;5;4;4
GREMABI;5;5;5;6;6;6;6;5;5;6;3;3;5;5;5;3;5;5;5;6;6;6;6;4;3;6;6;6;3;5;5;5;5;5;4;4;5;6;5;5;5;3;5;5;6;6;6;6;5;5;6;6;6;5;0;6;5;5;6;5;3;6;5;5;5;4;4;4;4;4;4;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;3;3;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;3;5;5;5;5;4;5;4;4;6;5;3;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
GYMNFUS;6;6;6;3;3;3;3;6;6;4;6;6;6;6;6;6;6;6;6;3;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;6;3;4;4;4;6;6;4;4;4;6;6;0;6;6;4;6;6;4;6;6;6;6;6;6;6;6;6;5;5;5;6;5;4;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;4;6;6;6;6;4;4;4;4;4;4;6;6;6;6;6;3;6;6;6;4;4;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;4;6;6;4;4;6;6;6;6;6;6;6;4;4;6;6;6;6;6;6;6;6;6
HAEMHAE;4;4;4;6;6;6;6;4;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;2;6;5;4;5;5;4;4;6;6;6;6;2;5;6;6;6;4;5;6;0;5;6;4;5;6;4;4;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;4;5;5;5;5;2;2;2;2;2;2;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;4;4;4;4;4;5;5;4;2
HERPJUN;5;5;5;6;6;6;6;5;5;6;5;5;4;4;5;5;5;5;5;6;6;6;6;5;5;6;6;6;5;5;5;5;5;5;5;5;5;6;4;5;4;5;5;5;6;6;6;6;5;4;6;6;6;5;5;6;5;0;6;5;5;6;5;5;5;5;5;5;5;5;5;6;6;6;5;6;6;5;6;5;4;4;4;4;5;5;5;5;5;5;5;5;5;6;6;5;5;5;4;6;6;6;6;6;6;4;5;5;4;5;6;5;5;3;6;6;6;5;3;3;3;5;5;5;5;5;6;5;5;4;5;6;5;3;6;6;4;4;5;5;5;5;5;6;6;5;5;5;5;5;3;3;5;5
HETEANN;6;6;6;4;4;4;4;6;6;4;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;6;4;4;4;4;6;6;4;4;4;6;6;4;6;6;0;6;6;4;6;6;6;6;6;6;6;6;6;5;5;5;6;5;4;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;4;4;4;4;4;4;6;6;6;6;6;4;6;6;6;4;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;4;6;6;3;3;6;6;6;6;6;6;6;4;4;6;6;6;6;6;6;6;6;6
HYPOFRA;4;4;4;6;6;6;6;4;2;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;4;6;5;4;5;5;2;3;6;6;6;6;4;5;6;6;6;4;5;6;4;5;6;0;5;6;4;4;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;3;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;3;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;2;5;5;6;3;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;3;4;4;4;4;5;5;4;4
LACHWIL;5;5;5;6;6;6;6;5;5;6;3;3;5;5;5;3;5;5;5;6;6;6;6;4;3;6;6;6;3;5;5;5;5;5;4;4;5;6;5;5;5;3;5;5;6;6;6;6;5;5;6;6;6;5;3;6;5;5;6;5;0;6;5;5;5;4;4;4;4;4;4;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;3;3;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;3;5;5;5;5;4;5;4;4;6;5;3;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
LAETSUL;6;6;6;4;4;4;4;6;6;3;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;4;3;2;2;6;6;3;3;3;6;6;4;6;6;4;6;6;0;6;6;6;6;6;6;6;6;6;5;5;5;6;5;3;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;2;4;4;4;4;4;6;6;6;6;6;4;6;6;6;3;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;3;6;6;4;4;6;6;6;6;6;6;6;3;3;6;6;6;6;6;6;6;6;6
LEPTLUN;4;4;4;6;6;6;6;4;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;4;6;5;4;5;5;4;4;6;6;6;6;4;5;6;6;6;4;5;6;4;5;6;4;5;6;0;1;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;2;2;2;6;6;4;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;4;4;4;4;4;5;5;4;4
LEPTPRO;4;4;4;6;6;6;6;4;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;4;6;5;4;5;5;4;4;6;6;6;6;4;5;6;6;6;4;5;6;4;5;6;4;5;6;1;0;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;2;2;2;6;6;4;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;4;4;4;4;4;5;5;4;4
LEUCPER;3;3;3;6;6;6;6;3;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;3;5;3;3;3;5;5;4;6;5;3;5;5;4;4;6;6;6;6;4;5;6;6;6;3;5;6;4;5;6;4;5;6;4;4;0;5;5;5;5;5;5;6;6;6;3;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;3;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;3;6;6;4;2;2;2;2;5;5;4;4
LIRUMAC;5;5;5;6;6;6;6;5;5;6;4;4;5;5;5;4;5;5;5;6;6;6;6;2;4;6;6;6;4;5;5;5;5;5;4;4;5;6;5;5;5;4;5;5;6;6;6;6;5;5;6;6;6;5;4;6;5;5;6;5;4;6;5;5;5;0;1;2;2;2;2;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;4;4;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;4;5;0;5;5;2;5;4;4;6;5;4;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
LIRUNER;5;5;5;6;6;6;6;5;5;6;4;4;5;5;5;4;5;5;5;6;6;6;6;2;4;6;6;6;4;5;5;5;5;5;4;4;5;6;5;5;5;4;5;5;6;6;6;6;5;5;6;6;6;5;4;6;5;5;6;5;4;6;5;5;5;1;0;2;2;2;2;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;4;4;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;4;5;5;5;5;2;5;4;4;6;5;4;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
LOPHCON;5;5;5;6;6;6;6;5;5;6;4;4;5;5;5;4;5;5;5;6;6;6;6;2;4;6;6;6;4;5;5;5;5;5;4;4;5;6;5;5;5;4;5;5;6;6;6;6;5;5;6;6;6;5;4;6;5;5;6;5;4;6;5;5;5;2;2;0;1;1;1;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;4;4;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;4;5;5;5;5;2;5;4;4;6;5;4;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
LOPHPIC;5;5;5;6;6;6;6;5;5;6;4;4;5;5;5;4;5;5;5;6;6;6;6;2;4;6;6;6;4;5;5;5;5;5;4;4;5;6;5;5;5;4;5;5;6;6;6;6;5;5;6;6;6;5;4;6;5;5;6;5;4;6;5;5;5;2;2;1;0;1;1;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;0;5;5;6;6;5;4;4;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;4;5;5;5;5;2;5;4;4;6;5;4;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
LOPHPIN;5;5;5;6;6;6;6;5;5;6;4;4;5;5;5;4;5;5;5;6;6;6;6;2;4;6;6;6;4;5;5;5;5;5;4;4;5;6;5;5;5;4;5;5;6;6;6;6;5;5;6;6;6;5;4;6;5;5;6;5;4;6;5;5;5;2;2;1;1;0;1;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;4;4;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;4;5;5;5;5;2;5;4;4;6;5;4;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;0
LOPHSED;5;5;5;6;6;6;6;5;5;6;4;4;5;5;5;4;5;5;5;6;6;6;6;2;4;6;6;6;4;5;5;5;5;5;4;4;5;6;5;5;5;4;5;5;6;6;6;6;5;5;6;6;6;5;4;6;5;5;6;5;4;6;5;5;5;2;2;1;1;1;0;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;4;4;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;4;5;5;5;5;2;5;4;4;6;5;4;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
MELAALL;6;6;6;5;5;5;5;6;6;5;6;6;6;6;6;6;6;6;6;5;3;3;3;6;6;3;3;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;6;6;5;5;5;6;6;5;6;6;5;6;6;5;6;6;6;6;6;6;6;6;6;0;3;1;6;1;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;5;6;6;6;5;5;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;5;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6
MELACAR;6;6;6;5;5;5;5;6;6;5;6;6;6;6;6;6;6;6;6;5;3;3;3;6;6;3;3;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;6;6;5;5;5;6;6;5;6;6;5;6;6;5;6;6;6;6;6;6;6;6;6;3;0;3;6;3;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;5;6;6;6;5;5;2;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;5;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6
MELALAR;6;6;6;5;5;5;5;6;6;5;6;6;6;6;6;6;6;6;6;5;3;3;3;6;6;3;3;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;6;6;5;5;5;6;6;5;6;6;5;6;6;5;6;6;6;6;6;6;6;6;6;1;3;0;6;1;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;5;6;6;6;5;5;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;5;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6
MELAMOD;3;3;3;6;6;6;6;3;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;3;5;3;3;3;5;5;4;6;5;2;5;5;4;4;6;6;6;6;4;5;6;6;6;3;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;0;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;3;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;3;6;6;4;3;3;3;3;5;5;4;4
MELAPOP;6;6;6;5;5;5;5;6;6;5;6;6;6;6;6;6;6;6;6;5;3;3;3;6;6;3;3;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;6;6;5;5;5;6;6;5;6;6;5;6;6;5;6;6;6;6;6;6;6;6;6;1;3;1;6;0;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;5;6;6;6;5;5;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;5;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6
MERIGIG;6;6;6;4;4;4;4;6;6;3;6;6;6;6;6;6;6;6;6;4;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;6;6;4;3;3;3;6;6;3;3;3;6;6;4;6;6;4;6;6;3;6;6;6;6;6;6;6;6;6;5;5;5;6;5;0;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;6;6;6;6;3;4;4;4;4;4;6;6;6;6;6;4;6;6;6;3;4;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;3;6;6;4;4;6;6;6;6;6;6;6;3;3;6;6;6;6;6;6;6;6;6
