##############################################
# Interactions between tree and fungal species
# Last row and column contain the sum of each
##############################################
;ABIEALB;ABIEGRA;ABIENOR;ACERGRA;ACERPET;ALNUGLU;BETUSPP;CARPBET;CASTSAT;CEDRATL;CUPRSEM;FAGUSIL;FRAXSPP;JUGLSPP;LARIDEC;LARIKAE;PICEEXC;PICESIT;PINUBRU;PINUCEM;PINUHAL;PINULAR;PINUNIG;PINUPINA;PINUPINE;PINURAD;PINUSTR;PINUSYL;PINUTAE;PINUUNC;PLATHYB;POPUCUL;POPUTRE;PRUNAVI;PSEUMEN;QUERILE;QUERPAT;QUERPUB;QUERPYR;QUERROB;QUERRUB;QUERSUB;SORBARI;SORBAUC;SORBDOM;SORBTOR;TAXABAC;THUJPLI;TILISPP;TSUGHET;ULMUSPP;NB_INTER_C
RHIZKAL;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
RHIZMAC;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
RHIZOUD;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
RHIZUND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
RHYTACE;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ROSENEC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
SARERES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SAWATUL;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SCHICOM;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6
SEIRCAR;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SEPTPOD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SEPTQUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3
SIROSTR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
SPARCRI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
SPHASAP;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
STEGPYR;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
STERHIR;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5
STERSAN;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
STIGCAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SYDOPOL;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
TAPHBET;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TAPHCAE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
TAPHCER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TAPHPOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TITATRE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TRAMGIB;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
TRAMVER;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
TRUNHAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
VALSAMB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
VALSKUN;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
VALSNIV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VALSSOR;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4
VENTFRA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VENTINA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
VERTDAH;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ZYTHPIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NB_INTER_A;17;16;11;23;5;7;1;2;13;11;3;28;12;11;12;7;26;9;3;2;8;23;12;28;6;3;11;31;4;12;4;24;2;12;26;3;26;8;2;22;28;4;4;2;3;7;1;1;4;2;1;

######################
# List of tree species
######################
ABIEALB;Abies alba
ABIEGRA;Abies grandis
ABIENOR;Abies nordmanniana
ACERGRA;Large Maples (Acer platanoides, Acer pseudoplatanus)
ACERPET;Small Maples (Acer campestre, Acer monspessulanum, Acer negundo, Acer opalus) 
ALNUGLU;Alnus glutinosa
BETUSPP;Betulus spp (Betula pendula, Betula pubescens) 
CARPBET;Carpinus betulus
CASTSAT;Castanea sativa
CEDRATL;Cedrus spp (Cedrus atlantica, Cedrus libani) 
CUPRSEM;Cupressus sempervirens
FAGUSIL;Fagus silvatica
FRAXSPP;Fraxinus spp (Fraxinus angustifolia, Fraxinus excelsior) 
JUGLSPP;Juglans spp (Juglans nigra, Juglans regia) 
LARIDEC;Larix decidua
LARIKAE;Larix kaempferi
PICEEXC;Picea excelsa
PICESIT;Picea sitchensis
PINUBRU;Pinus brutia (Pinus brutia, Pinus brutia eldarica)
PINUCEM;Pinus cembra
PINUHAL;Pinus halepensis
PINULAR;Pinus nigra laricio
PINUNIG;Pinus nigra nigra
PINUPINA;Pinus pinaster
PINUPINE;Pinus pinea
PINURAD;Pinus radiata
PINUSTR;Pinus strobus
PINUSYL;Pinus sylvestris
PINUTAE;Pinus taeda
PINUUNC;Pinus uncinata
PLATHYB;Platanus hybrida
POPUCUL;Cultivated Poplars (Populus trichocarpa, P. canescens, P.alba, P.nigra and their cultivated hybrids)
POPUTRE;Populus tremula
PRUNAVI;Prunus avium
PSEUMEN;Pseudotsuga menziesii
QUERILE;Quercus ilex
QUERPAT;Quercus petraea
QUERPUB;Quercus pubescens
QUERPYR;Quercus pyrenaica
QUERROB;Quercus robur
QUERRUB;Quercus rubra
QUERSUB;Quercus suber
SORBARI;Sorbus aria
SORBAUC;Sorbus aucuparia
SORBDOM;Sorbus domestica
SORBTOR;Sorbus torminalis
TAXABAC;Taxus baccata
THUJPLI;Thuja plicata
TILISPP;Tilia spp (Tilia platiphyllos, Tilia cordata) 
TSUGHET;Tsuga heterophylla
ULMUSPP;Ulmus spp (Ulmus minor, Ulmus laevis, Ulmus glabra) 

########################
# List of fungal species
########################
AMPHLEI;Amphiporthe leiphaemia
APIOERR;Apiognomonia errabunda
APIOVEN;Apiognomonia veneta
ARMICEP;Armillaria cepistipes
ARMIGAL;Armillaria gallica
ARMIMEL;Armillaria mellea
ARMIOST;Armillaria ostoyae
ASTETIL;Asteroma tiliae
BISCMED;Biscogniauxia mediterranea var. mediterranea
BJERADU;Bjerkandera adusta
BLUMJAA;Blumeriella jaapii
BOTRCIN;Botrytis cinerea (grouped with Botryotinia fuckeliana (anamorphic type))
BOTRDOT;Botryosphaeria dothidea
BOTRSTE;Botryosphaeria stevensii
CALIPIN;Caliciopsis pinea
CENAFER;Cenangium ferruginosum
CERAIPS;Ceratocystis ips
CERAMIN;Ceratocystis minor
CERAPLA;Ceratocystis platani
CHONPUR;Chondrostereum purpureum
CHRYABI;Chrysomyxa abietis
CHRYLED;Chrysomyxa ledi var. rhododendri
COLETUS;Coleosporium tussilaginis f.sp. senecionis-silvatici
COLPQUE;Colpoma quercinum
CRISDEP;Cristulariella depraedans
CRONFLA;Cronartium flaccidum
CRONQUE;Cronartium quercuum
CRONRIB;Cronartium ribicola
CRUMSOR;Crumenulopsis sororia
CRYPCAS;Cryptodiaporthe castanea
CRYPCOR;Cryptostroma corticale
CRYPHYA;Cryptodiaporthe hystrix
CRYPPAR;Cryphonectria parasitica
CRYPPOP;Cryptodiaporthe populea
CYCLMIN;Cyclaneusma minus
CYCLNIV;Cyclaneusma niveum
CYLIDID;Cylindrocarpon didymum
DAEDCON;Daedaleopsis confragosa
DELPABI;Delphinella abietis
DICADRY;Dicarpella dryina
DISCCAS;Discella castanea
DREPPUN;Drepanopeziza punctiformis
ENTOMAM;Entoleuca mammata
EUTYLAT;Eutypa lata
FISTHEP;Fistulina hepatica
FOMEFOM;Fomes fomentarius
FOMICYT;Fomitopsis cytisina
FOMIPIN;Fomitopsis pinicola
FUSAOXY;Fusarium oxysporum
FUSIQUE;Fusicoccum quercus
GANOADS;Ganoderma adspersum
GANOAPP;Ganoderma applanatum
GANORES;Ganoderma resinaceum
GNOMLEP;Gnomonia leptostyla
GREMABI;Gremmeniella abietina
GYMNFUS;Gymnopus fusipes
HAEMHAE;Haematonectria haematococca
HERPJUN;Herpotrichia juniperi
HETEANN;Heterobasidion annosum
HYPOFRA;Hypoxylon fragiforme
LACHWIL;Lachnellula willkommii
LAETSUL;Laetiporus sulphureus
LEPTLUN;Leptographium lundbergii
LEPTPRO;Leptographium procerum
LEUCPER;Leucostoma persoonii
LIRUMAC;Lirula macrospora
LIRUNER;Lirula nervisequia var. nervisequia
LOPHCON;Lophodermium conigenum
LOPHPIC;Lophodermium piceae
LOPHPIN;Lophodermium pinastri
LOPHSED;Lophodermium seditiosum
MELAALL;Melampsora allii-populina
MELACAR;Melampsorella caryophyllacearum
MELALAR;Melampsora laricis-populina
MELAMOD;Melanconis modonia
MELAPOP;Melampsora populnea
MERIGIG;Meripilus giganteus
MICRALP;Microsphaera alphitoides
MICRJUG;Microstroma juglandis
MONOMON;Monochaetia monochaeta
MYCOCAS;Mycosphaerella castaneicola
MYCODEA;Mycosphaerella dearnessii
MYCOMIC;Mycosphaerella microsora
MYCOPIN;Mycosphaerella pini
NECTCIN;Nectria cinnabarina
NECTCOC;Nectria coccinea (grouped with Cylindocarpon candidum (teleomorphic type))
NECTDIT;Nectria ditissima
NECTFUC;Nectria fuckeliana
NECTVEU;Nectria veuillotiana
NEONGAL;Neonectria galligena
OPHIPIC;Ophiostoma piceae
OPHISER;Ophiostoma serpens
OPHIULM;Ophiostoma ulmi (grouped with Ophiostoma novo-ulmi)
OUDEMUC;Oudemansiella mucida
OXYPPOP;Oxyporus populinus
PESTFUN;Pestalotiopsis funerea
PEZICIN;Pezicula cinnamomea
PHACCON;Phacidium coniferarum
PHAEGAE;Phaeocryptopus gaeumannii
PHAESCH;Phaeolus schweinitzii
PHELCHR;Phellinus chrysoloma
PHELHAR;Phellinus hartigii
PHELIGN;Phellinus igniarius
PHELPIN;Phellinus pini
PHELROB;Phellinus robustus
PHLOACE;Phloeospora aceris
PHOMJUN;Phomopsis juniperivora
PHOMQUE;Phomopsis quercella
PHYLACE;Phyllosticta aceris
PHYLGUT;Phyllactinia guttata
PLEUOST;Pleurotus ostreatus
PLEUPSE;Pleuroceras pseudoplatani
PODOCLA;Podosphaera clandestina var. aucupariae
POLLRAD;Pollaccia radiosa
POLYSQU;Polyporus squamosus
PSEUDRY;Pseudoinonotus dryadeus
PUCCEPI;Pucciniastrum epilobii
RHABPSE;Rhabdocline pseudotsugae
RHIZKAL;Rhizosphaera kalkhoffii
RHIZMAC;Rhizosphaera macrospora
RHIZOUD;Rhizosphaera oudemansii
RHIZUND;Rhizina undulata
RHYTACE;Rhytisma acerinum
ROSENEC;Rosellinia necatrix
SARERES;Sarea resinae
SAWATUL;Sawadaea tulasnei
SCHICOM;Schizophyllum commune
SEIRCAR;Seiridium cardinale
SEPTPOD;Septotis podophyllina
SEPTQUE;Septoria quercicola
SIROSTR;Sirococcus strobilinus
SPARCRI;Sparassis crispa
SPHASAP;Sphaeropsis sapinea
STEGPYR;Stegonsporium pyriforme
STERHIR;Stereum hirsutum
STERSAN;Stereum sanguinolentum
STIGCAR;Stigmina carpophila
SYDOPOL;Sydowia polyspora
TAPHBET;Taphrina betulina
TAPHCAE;Taphrina caerulescens
TAPHCER;Taphrina cerasi
TAPHPOP;Taphrina populina
TITATRE;Titaeosporina tremulae
TRAMGIB;Trametes gibbosa
TRAMVER;Trametes versicolor
TRUNHAR;Truncatella hartigii
VALSAMB;Valsa ambiens
VALSKUN;Valsa kunzei
VALSNIV;Valsa nivea
VALSSOR;Valsa sordida
VENTFRA;Venturia fraxini
VENTINA;Venturia inaequalis
VERTDAH;Verticillium dahliae
ZYTHPIN;Zythiostroma pinastri

#######################################
# Genetic distance between tree species
#######################################
;ABIEALB;ABIEGRA;ABIENOR;CEDRATL;LARIDEC;LARIKAE;PICEEXC;PICESIT;PINUBRU;PINUCEM;PINUHAL;PINULAR;PINUNIG;PINUPINA;PINUPINE;PINURAD;PINUSTR;PINUSYL;PINUTAE;PINUUNC;PSEUMEN;TSUGHET;CUPRSEM;THUJPLI;TAXABAC;ACERGRA;ACERPET;TILISPP;ALNUGLU;BETUSPP;CARPBET;JUGLSPP;CASTSAT;QUERILE;QUERPAT;QUERPUB;QUERPYR;QUERROB;QUERRUB;QUERSUB;FAGUSIL;PRUNAVI;SORBARI;SORBAUC;SORBDOM;SORBTOR;ULMUSPP;POPUCUL;POPUTRE;FRAXSPP;PLATHYB
ABIEALB;0;154.761917;154.761917;309.523819;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.52382;309.523819;309.523819;464.285696;464.285717;464.285699;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;649.999989;602.99999;649.999992;649.999992;649.999992;649.999992;649.999989;629.999991;649.999985;649.999985;649.999985
ABIEGRA;154.761917;0;154.761932;309.523834;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523834;309.523834;464.285711;464.285732;464.285714;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;603.000005;650.000007;650.000007;650.000007;650.000007;650.000004;630.000006;650;650;650
ABIENOR;154.761917;154.761932;0;309.523834;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523834;309.523834;464.285711;464.285732;464.285714;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;603.000005;650.000007;650.000007;650.000007;650.000007;650.000004;630.000006;650;650;650
CEDRATL;309.523819;309.523834;309.523834;0;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523835;309.523834;309.523834;464.285711;464.285732;464.285714;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;650.000004;603.000005;650.000007;650.000007;650.000007;650.000007;650.000004;630.000006;650;650;650
LARIDEC;309.52382;309.523835;309.523835;309.523835;0;154.761918;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
LARIKAE;309.52382;309.523835;309.523835;309.523835;154.761918;0;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PICEEXC;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;0;154.761918;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PICESIT;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;154.761918;0;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523836;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINUBRU;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;0;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINUCEM;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;154.761918;0;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINUHAL;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;154.761918;154.761918;0;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINULAR;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;154.761918;154.761918;154.761918;0;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINUNIG;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;154.761918;154.761918;154.761918;154.761918;0;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINUPINA;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;154.761918;154.761918;154.761918;154.761918;154.761918;0;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINUPINE;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;0;154.761918;154.761918;154.761918;154.761918;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINURAD;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;0;154.761918;154.761918;154.761918;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINUSTR;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;0;154.761918;154.761918;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINUSYL;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;0;154.761918;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
PINUTAE;309.52382;309.523835;309.523835;309.523835;309.523836;309.523836;309.523836;309.523836;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;154.761918;0;154.761918;309.523835;309.523835;464.285712;464.285733;464.285715;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;650.000005;603.000006;650.000008;650.000008;650.000008;650.000008;650.000005;630.000007;650.000001;650.000001;650.000001
